X,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq_0
109.848167545014,2.68527e+07,
109.848584400144,2.68527e+07,
109.9046932239,2.68527e+07,
109.90730638536,2.68527e+07,
109.907735228978,2.68527e+07,
109.986969817838,2.68528e+07,
109.989581437409,2.68528e+07,
109.990016281027,2.68528e+07,
109.992421124645,2.68528e+07,
109.992909968263,2.68528e+07,
109.993416811881,2.68528e+07,
109.993959655499,2.68528e+07,
109.995250499117,2.68528e+07,
109.995712342735,2.68528e+07,
109.996138186353,2.68528e+07,
109.996699029971,2.68528e+07,
109.997340873589,2.68528e+07,
109.997730717207,2.68528e+07,
109.99935036196,2.68528e+07,
110.018349305182,2.68528e+07,
110.056055864852,2.68528e+07,
110.058991779241,2.68528e+07,
110.059438611627,2.68528e+07,
110.139659760865,2.68529e+07,
110.140697582295,2.68529e+07,
110.141649403725,2.68529e+07,
110.142102225155,2.68529e+07,
110.142528046585,2.68529e+07,
110.143178868015,2.68529e+07,
110.143595689445,2.68529e+07,
110.144111510875,2.68529e+07,
110.144699332305,2.68529e+07,
110.145107153735,2.68529e+07,
110.145505975165,2.68529e+07,
110.146190917111,2.68529e+07,
110.146850016631,2.68529e+07,
110.147553849017,2.68529e+07,
110.208709785967,2.68529e+07,
110.209655058597,2.68529e+07,
110.210128869347,2.68529e+07,
110.290620002427,2.6853e+07,
